Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Uganda,119.5,0,47.35,7.69541,77.7,9.319755753,0,50.25811683,4.814444444,49.31666667,107,3,8,22,144,205.5,0,98,52,117,75.65
United Arab Emirates,31.4,1.59,18.96,3.20622,3.19,2.004039769,0,27.59638942,0,0,10,110,117,176,61,96,0,191,0,0,76.1
Barbados,649.5,22.51,12.71,1.63693,16.8,3.404418683,0,52.12288997,0,0,22,168,166,135.5,214,43,0,16,0,0,76.45
Paraguay,16,0,29.1,5.0472,43.9,3.349713417,0,49.27653982,5.058333333,52.47666667,21,61,52,71.5,38,205.5,0,169,38,109,76.5
"Egypt, Arab Rep.",78.8,0.24,22.94,2.25521,30.6,0.521247836,0,49.43782799,0,0,1,84,156,106,114,145,0,161,0,0,76.7
Kenya,59.6,0.09,39.72,5.36749,61.7,10.37422493,0,50.30022221,4.418,47.882,119,24,40,41,91,173.5,0,95,67,121,77.15
Thailand,125.7,0.63,13.87,6.75613,52.8,10.12782653,0,51.2368017,4.705,58.39,118,159,15,56,147,120.5,0,35,56,67,77.35
Sri Lanka,308.2,2.04,15.51,4.40229,42.7,20.23903786,0,51.9384991,0,0,179,145,74,75,193,90.5,0,20,0,0,77.65
Azerbaijan,91.9,0,20.74,5.09365,71.9,2.588415365,0,50.18813361,4.35,58.205,13,102,51,31,126,205.5,0,105,73,71,77.75
Liechtenstein,212.4,0,10.21,0,0,0,0,0,2.32,60.53,0,196,0,0,177,205.5,0,0,155,49,78.25
Algeria,13.8,0.04,17.14,2.59324,30.9,4.48406011,0,49.49824227,0,0,36,128,146,105,29.5,179.5,0,159,0,0,78.3
