Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed,Percent_self_emplyed_Ranked,suicide_per_100k,suicide_per_100k_Ranked,No_of_Arrivals,No_of_Arrivals_Ranked,Per_of_FemalePop,Per_of_FemalePop_Ranked,Household_size,Household_Nuclear,Household_size_Ranked,Household_Nuclear_Ranked,Weighted_Rank,Overall_Rank
Sao Tome and Principe,193.2,20.88,40.25,174,45,23,4.86958,61,35.8,92,10.02557351,115,33400,137,50.20187437,104,3.84,48.42,95,119,106,22.5
Chile,21.3,0.85,15.23,47,110,148,3.55338,105,27.7,111,7.099052863,73,5723000,52,50.46306445,85,4.134,53.665,84,100,83,72
Singapore,6482.2,27.85,9.34,225,37,209,3.13642,122,14.1,150.5,12.68577051,146,14673000,27,50.59025198,74,3.435,0,104,0,95,38.5
China,136.9,0.15,13.25,156,161,164,6.17187,27,36.2,91,18.34325871,172,62900000,4,48.47029142,179,3.913333333,65.18,93,19,87,60.5
Sudan,16.5,0.03,34.53,39,181.5,42,3.89265,83,44.8,69,9.372405084,109,836000,110,50.02376315,120,5.59,58.63,22,64,87,60.5
Colombia,38.3,0.28,20.48,67,141.5,104.5,4.17546,78,50.7,60,4.218676156,32,3904000,63,50.80032427,56,4.331818182,54.14454545,76,98,67,121
Tajikistan,51.2,0,32.65,84,205.5,49,0.720572,176,47.9,65,3.936590904,28,1035000,105,49.7764294,144,6.13,45.5,11,125,90,52.5
Comoros,318.4,15.67,36.93,196,51,33,2.47505,151,68.9,35,4.626597901,40,35900,136,49.56045563,154,5.84,44.345,16,128,92,46.5
Trinidad and Tobago,207.9,7.06,12.9,176,66,165,3.11628,123,22.3,123,9.337369993,108,375000,118,50.73715179,64,4.05,54.406,87,94,109,19
Costa Rica,79.8,2.52,18.32,116,84.5,116,4.36486,76,21.7,124,5.546782477,51,3017000,70,49.98616933,123,4.228,65.268,79,17,74,104
United Kingdom,247.6,5.08,10.71,180,71,188,1.52512,168,15.3,143,7.677848339,84,36316000,10,50.65876632,72,2.36,63.86,153.5,28,89,55.5
Cote d'Ivoire,54.8,0.16,35.11,86,158.5,40,6.90461,13,75.2,26,18.64728348,173,1965000,84,49.34258834,166,5.745,30.1225,19,147,96,35
Zambia,15.3,0,41,36,205.5,18,6.40143,25,77.8,21,10.03935319,117,1072000,103,50.37930569,92,5.3175,48.6675,28,118,82,76.5
Croatia,79.5,10.32,9.61,115,58,207,3.8782,85,13.7,153,18.07137143,169,16645000,22,51.79629127,22,2.895,60.36,120,52,95,38.5
Kenya,59.6,0.09,39.72,91,173.5,24,5.36749,40,61.7,41,10.37422493,119,0,0,50.30022221,95,4.418,47.882,67,121,71,112.5
Cuba,102.7,3.37,11.89,135,77,177,4.77275,64,34.5,97,16.4837828,166,4684000,57,49.97868892,124,3.14,54.26,112,96,104,26
Lesotho,66.6,0,24.75,103.5,205.5,77,3.06473,125,59.6,46.5,8.197178475,94,1173000,99.5,51.44848529,29,4.078333333,32.768,86,144,100,30
Cyprus,84.8,7.01,12.56,121,67,169.5,6.40349,24,14.1,150.5,0.9287632,3,3939000,62,49.94014646,131,2.8825,72.68,122,6,64,134
Zimbabwe,31.3,0,28.01,60,205.5,64,2.14198,159,65.6,39,11.78386384,134,2580000,76,51.29407937,33,4.268333333,40.38333333,78,134,101,28.5
Czech Republic,129.8,0,9.02,150,205.5,213,1.45334,170,17.3,133.5,14.6261605,158,10611000,36,50.84529044,53,2.4375,60.065,149,53,116,9.5
Malawi,109.8,0,43.13,139,205.5,12,3.81246,89,60.9,44,10.43462987,120,871000,107,50.46127702,86,4.405555556,56.47222222,69,83,97,33
Dominican Republic,188.5,2.64,23.22,170,83,82,3.64736,99,43.9,71.5,5.553111315,52,6569000,50,50.20583726,103,3.96,52.83,89,106,79,85
Maldives,1196.7,214.67,34.81,219,4,41,4.88234,60,25.9,116.5,17.33574793,168,1484000,94,43.13929957,186,5.696666667,37.245,20,140,112,15
Ecuador,47.8,0.79,22.29,77,113,90,2.25086,157,48.5,62,7.713120632,85,2535000,77,50.02170245,121,4.435714286,55.64,64,86,88,58
Malta,1266.5,62.28,10.22,221,17,195,3.8239,88,13.2,155,4.869791157,42,2599000,75,49.77705772,143,2.875,69.3,123,8,85,68.5
El Salvador,324.3,1.46,26.61,197,97,70,3.91946,82,39.8,81,8.356749973,98,1677300,91,53.03879384,9,4.345,52.81,74,107,91,49
Mexico,54.5,0.47,20.69,85,124.5,103,2.68557,141,31.5,104,2.606418694,14,41313000,7,50.20880006,102,4.43375,65.855,65,15,56,152
Estonia,29.3,8.39,10.04,58,62,198,3.83437,87,9.64,169,27.67379522,190,3234000,67,53.14546857,8,2.426666667,55.11,150,88,114,11
Morocco,74.4,0.41,21.98,110,130,94,3.87809,86,53.5,55,2.216826749,12,12289000,30,50.47215707,84,5.67,56.99,21,79,53,159
Ethiopia,66.3,0,37.98,102,205.5,29,5.98104,32,88.6,9.5,8.516032887,99,849000,109,50.06925951,118,4.717142857,63.08,55,32,76,94.5
Namibia,2.5,0.19,24.32,5,155.5,80,-2.20997,177,29.7,107,8.526318863,101,0,0,51.35080095,32,4.95,27.2625,42,149,83,72
Fiji,49.6,6.18,22.55,81.5,69,88,2.57809,147,39.7,83,3.979134987,29,870000,108,49.23605827,170,5.461666667,45.768,25,124,86,64.5
Netherlands,397.1,1.09,10.9,205,103,184,2.57434,148,16.7,137,8.002346768,90,18780000,19,50.24478244,99,2.27,0,158,0,91,49
Finland,15.5,0.37,10.45,37,133,191,3.10653,124,13.9,152,22.15314556,181,3224000,68,50.72152435,65,2.07,54.99,162,89,121,3.5
Nicaragua,43,0.7,24.51,75,117.5,79,6.24826,26,44.7,70,12.46700245,144,1256000,97,50.69842263,67,5.476,52.858,24,105,88,58
France,111.3,0.63,11.99,140,120.5,175,2.43424,154,11.7,160,15.24368145,162,89322000,1,50.83268354,54,2.556363636,59.92,138,54,105,24
Nigeria,142.7,0.09,40.43,157,173.5,21,3.56261,103,81.5,15,7.514535755,82,0,0,49.32625945,167,4.756666667,54.47333333,54,93,69,117.5
Gabon,5.3,0.33,36.16,15,137,36,2.66072,143,34.6,96,7.211264157,76,0,0,48.63423515,176,4.535,31.12,60,145,80,81
Oman,14.6,0.98,36.24,34,106.5,35,4.61736,69,11.1,162,3.749441944,27,2301000,81,34.15597234,190,8.02,0,4,0,65,129
Georgia,66.9,0.44,10.41,105,127,192,0.969875,175,58.8,48,3.599994535,24,4757000,56,52.25485542,15,3.43,47.14,105,122,79,85
Panama,40.8,3.18,21.74,73,78,97,6.69426,17,35.3,93,4.928731056,43,1785000,88,49.89148694,134,4.385,50.39666667,71,114,75,100.5
Germany,230.9,0.67,8.25,178,119,223,2.45378,153,10.3,165,15.56910036,164,38881000,8,50.75779379,62,2.103333333,59.04,161,61,113,13
Paraguay,16,0,29.1,38,205.5,61,5.0472,52,43.9,71.5,3.349713417,21,1181000,98,49.27653982,169,5.058333333,52.47666667,38,109,75,100.5
Ghana,93.6,0.23,30.52,128,148,54,4.75352,65,72.9,29.5,6.020095112,58,0,0,50.17032025,108,4.172222222,41.73777778,82,132,65,129
Philippines,298.2,12.1,24.89,189,54,74,5.86717,33,38.5,86,1.67724003,8,7168000,47,49.67424777,147,4.86,62.726,50,36,54,156
Greece,81,10.37,9.68,119,57,205,1.93201,163,33,99,3.028586733,18,30123000,13,50.77984981,60,2.8425,64.88166667,125,21,64,134
Portugal,114.8,1.94,10.72,143,93,187,2.86289,135,17.4,131.5,7.978727077,89,16186000,23,52.6745188,11,2.85625,68.73333333,124,9,80,81
Guatemala,112.9,0.37,29.88,142,133,56,4.50001,70,37.4,87,2.654905694,15,1781000,89,50.78296308,59,5.1325,62.47375,35,37,63,136.5
Rwanda,328.4,0,40.37,198,205.5,22,6.49601,22,80.4,17,12.34249902,143,0,0,50.96393002,47,4.484166667,61.881,62,40,66,124
Guinea,39.4,0.13,41.76,68,165.5,16,6.06269,30,91.5,3,7.482283133,81,0,0,49.86046831,135,6.394,35.094,9,142,56,152
Senegal,61.1,0.27,32.78,94,143,48,5.25345,42,46.6,67,6.677666373,67,0,0,50.87041056,51,8.867142857,21.89285714,1,152,59,143.5
Guyana,3.6,0.21,18.28,13,153,117,4.05135,81,35,94,30.84746831,193,287000,122,49.51829006,158,3.98,54.715,88,91,119,5.5
